source,target,weight
computational modeling,cyber physical system,1
computational modeling,cybersecurity threat,1
computational modeling,distribution,1
computational modeling,edge computing,1
computational modeling,false data injection attack,2
computational modeling,internet of things,1
computational modeling,phase measurement,1
computational modeling,power measurement,1
computational modeling,smart device,1
computational modeling,smart grid,2
computational modeling,state estimation,1
computational modeling,unbalanced,1
computational modeling,voltage measurement,1
computational modeling,cumulative sum algorithm,1
computational modeling,cybersecurity,3
computational modeling,data model,3
computational modeling,dynamic linear regression model,1
computational modeling,heuristic algorithm,1
computational modeling,linear regression,1
computational modeling,meter,1
computational modeling,time varying system,1
computational modeling,bioinformatics,1
computational modeling,evidence theory,1
computational modeling,healthcare,1
computational modeling,internet of thing,1
computational modeling,medical service,1
computational modeling,smart health,1
computational modeling,smart healthcare,1
computational modeling,trust management,1
computational modeling,analytical model,1
computational modeling,breach prediction,1
computational modeling,cyber risk,1
computational modeling,cyber threat,1
computational modeling,cybersecurity data analytics,1
computational modeling,data,1
computational modeling,data breach,2
computational modeling,predictive model,1
computational modeling,sparse time series,1
computational modeling,time series,1
computational modeling,biological system modeling,1
computational modeling,cognitive science,1
computational modeling,computer security,1
computational modeling,internet data breach,1
computational modeling,mental model,1
computational modeling,security,2
computational modeling,cost,1
computational modeling,cyberphysical security,1
computational modeling,game,1
computational modeling,game theory,1
computational modeling,path planning,1
computational modeling,resilient path planning,1
computational modeling,robot,1
cyber physical system,cybersecurity threat,1
cyber physical system,distribution,1
cyber physical system,edge computing,1
cyber physical system,false data injection attack,2
cyber physical system,internet of things,1
cyber physical system,phase measurement,1
cyber physical system,power measurement,1
cyber physical system,smart device,1
cyber physical system,smart grid,2
cyber physical system,state estimation,2
cyber physical system,unbalanced,1
cyber physical system,voltage measurement,1
cyber physical system,coordinated attack,1
cyber physical system,cyber security,5
cyber physical system,distributed attack detection,1
cyber physical system,industrial control system,1
cyber physical system,invariant,1
cyber physical system,supervisory control and data acquisition,1
cyber physical system,water treatment plant,1
cyber physical system,critical infrastructure,2
cyber physical system,cyber attack,1
cyber physical system,operational technology,1
cyber physical system,cybersecurity,3
cyber physical system,healthcare,1
cyber physical system,machine learning,2
cyber physical system,threat assessment,1
cyber physical system,trustworthy artificial intelligence,1
cyber physical system,attack detection,1
cyber physical system,capture the flag,1
cyber physical system,cyber physical attack,1
cyber physical system,industrial control,1
cyber physical system,water defense,1
cyber physical system,water treatment,1
cyber physical system,artificial intelligence,1
cyber physical system,energy cloud,1
cyber physical system,network security,1
cyber physical system,autonomous vessel,1
cyber physical system,cyber risk propagation,1
cyber physical system,false data injection,1
cyber physical system,man in middle attack,1
cyber physical system,smart grid cyber security,1
cyber physical system,connected automated vehicle,1
cyber physical system,robust control,1
cyber physical system,sensor attack,1
cyber physical system,sensor fusion,1
cyber physical system,kalman filter,1
cybersecurity threat,distribution,1
cybersecurity threat,edge computing,1
cybersecurity threat,false data injection attack,1
cybersecurity threat,internet of things,1
cybersecurity threat,phase measurement,1
cybersecurity threat,power measurement,1
cybersecurity threat,smart device,1
cybersecurity threat,smart grid,1
cybersecurity threat,state estimation,1
cybersecurity threat,unbalanced,1
cybersecurity threat,voltage measurement,1
cybersecurity threat,behaviour profiling,1
cybersecurity threat,classification,1
cybersecurity threat,connected car,1
cybersecurity threat,driver identification,1
cybersecurity threat,global positioning,1
cybersecurity threat,incident response,1
cybersecurity threat,machine learning,1
cybersecurity threat,random forest,1
distribution,edge computing,1
distribution,false data injection attack,1
distribution,internet of things,1
distribution,phase measurement,1
distribution,power measurement,1
distribution,smart device,1
distribution,smart grid,1
distribution,state estimation,1
distribution,unbalanced,1
distribution,voltage measurement,1
distribution,authentication,1
distribution,cyberphysical,1
distribution,data,1
distribution,extraction,1
distribution,feature,1
distribution,measurement,1
distribution,mining,1
distribution,network,2
distribution,phasor,1
distribution,security,2
distribution,source,1
distribution,synchrophasor,1
distribution,testing,1
distribution,timefrequency,1
distribution,training,1
distribution,unit,1
distribution,critical,1
distribution,cyber,1
distribution,cybersecurity,1
distribution,evaluation,1
distribution,infrastructure,1
distribution,insurance,1
distribution,premium,1
distribution,reliability,1
distribution,water,1
edge computing,false data injection attack,1
edge computing,internet of things,1
edge computing,phase measurement,1
edge computing,power measurement,1
edge computing,smart device,1
edge computing,smart grid,1
edge computing,state estimation,1
edge computing,unbalanced,1
edge computing,voltage measurement,1
edge computing,cloud computing,1
edge computing,cybersecurity,2
edge computing,information security,1
edge computing,information sharing,1
edge computing,service providers,1
edge computing,sustainable business ecosystem,1
edge computing,edge internet of things,1
edge computing,growing self organizing map algorithm,1
edge computing,hyperdimensional computing,1
edge computing,minority resampling,1
edge computing,unsupervised machine learning,1
false data injection attack,internet of things,1
false data injection attack,phase measurement,1
false data injection attack,power measurement,1
false data injection attack,smart device,1
false data injection attack,smart grid,6
false data injection attack,state estimation,6
false data injection attack,unbalanced,1
false data injection attack,voltage measurement,2
false data injection attack,ac state estimation,1
false data injection attack,adversarial learning,1
false data injection attack,cyber security,6
false data injection attack,cumulative sum algorithm,1
false data injection attack,cybersecurity,4
false data injection attack,data model,1
false data injection attack,dynamic linear regression model,1
false data injection attack,heuristic algorithm,1
false data injection attack,linear regression,1
false data injection attack,meter,2
false data injection attack,time varying system,1
false data injection attack,artificial intelligence planning,1
false data injection attack,automated planning,1
false data injection attack,critical infrastructure,1
false data injection attack,cyber resilience,1
false data injection attack,energy grid security,1
false data injection attack,man-in-middle attack,1
false data injection attack,operational technology,1
false data injection attack,plc security,1
false data injection attack,smart grid security,1
false data injection attack,static state estimation,1
false data injection attack,topology estimation,1
false data injection attack,adsb protocol,1
false data injection attack,air traffic control,1
false data injection attack,automated test generation,1
false data injection attack,domain specific language,1
false data injection attack,biological system modeling,1
false data injection attack,covariance matrix,1
false data injection attack,supervisory control protection,1
false data injection attack,voltage control,1
false data injection attack,cyberphysical security,1
false data injection attack,phase lock value,1
false data injection attack,phasor measurement unit,1
false data injection attack,sequential change detection,1
false data injection attack,computer security,1
false data injection attack,distributed database,1
false data injection attack,distributed optimization,1
false data injection attack,microgrid,1
false data injection attack,optimal power flow,1
false data injection attack,peer to peer computing,1
false data injection attack,reactive power,1
false data injection attack,resilience,1
false data injection attack,basic measurement set,1
false data injection attack,cyberattack,1
false data injection attack,index,1
false data injection attack,mathematical model,1
false data injection attack,power,1
false data injection attack,sparse attack vector,1
false data injection attack,video surveillance,1
false data injection attack,kalman filter,1
internet of things,phase measurement,1
internet of things,power measurement,1
internet of things,smart device,1
internet of things,smart grid,2
internet of things,state estimation,1
internet of things,unbalanced,1
internet of things,voltage measurement,1
internet of things,artificial intelligence,5
internet of things,cybersecurity,62
internet of things,security,11
internet of things,security requirement,2
internet of things,state of art,1
internet of things,cyber security,25
internet of things,signature extraction,1
internet of things,smart home,6
internet of things,user privacy,1
internet of things,biomedical,1
internet of things,blockchain,9
internet of things,healthcare,3
internet of things,pharmaceutical,1
internet of things,technology,1
internet of things,deep learning,11
internet of things,deep neural network,2
internet of things,intrusion detection,12
internet of things,integration,1
internet of things,scenario,1
internet of things,supply chain,3
internet of things,cognitive model,1
internet of things,cyberattack,4
internet of things,dynamic logic,1
internet of things,epistemic logic,1
internet of things,intrusion response,1
internet of things,situation calculus,1
internet of things,big data,4
internet of things,graph database,1
internet of things,home care,1
internet of things,knowledge graph,1
internet of things,remote care,1
internet of things,smart healthcare,1
internet of things,smart hospitals,1
internet of things,telemedicine,1
internet of things,web,1
internet of things,cyber resilience,1
internet of things,epidemic spreading model,1
internet of things,end user development,1
internet of things,proof of authority,1
internet of things,secure consensus mechanism,1
internet of things,transaction finality,1
internet of things,collaborative work,1
internet of things,computer crime,2
internet of things,data model,2
internet of things,federated learning,2
internet of things,servers,2
internet of things,training,1
internet of things,directed acyclic graph,1
internet of things,distributed ledger technology,2
internet of things,multiclass categorization,1
internet of things,output coding,1
internet of things,tangle,1
internet of things,knowledge driven decision making,1
internet of things,response selection,1
internet of things,aquila optimizer,1
