year,total_papers,nodes,edges
1983,1,6,15
1984,1,4,6
1988,1,5,10
1991,1,6,15
1994,2,9,18
1996,3,12,23
1997,2,15,55
1998,2,10,20
2001,3,12,29
2002,2,7,11
2003,3,11,23
2004,10,49,189
2005,9,91,542
2006,10,77,442
2007,19,173,1177
2008,17,147,982
2009,25,185,1044
2010,50,353,2567
2011,100,755,6389
2012,130,1042,10541
2013,154,1041,9229
2014,186,877,6837
2015,287,1271,8852
2016,446,1749,11693
2017,536,2094,14504
2018,757,2507,17313
2019,988,2967,23499
2020,1090,3018,22141
2021,1189,3260,24623
2022,1339,3571,26617
2023,1648,4190,33842
2024,1692,4552,43838
2025,120,533,2820
