source,target,weight
cyber operation,cyber situational awareness,1
cyber operation,cybersecurity,1
cyber operation,pcre,1
cyber operation,regexbench,1
cyber operation,regular expression,1
cyber operation,sniffles,1
cyber operation,asymmetric frontline,1
cyber operation,closed national network,1
cyber operation,cyber battlefield,1
cyber operation,cyber domain,1
cyber operation,cyber security,1
cyber operation,defense,1
cyber operation,open network society,1
cyber operation,runet,1
cyber operation,russia,1
cyber situational awareness,cybersecurity,1
cyber situational awareness,pcre,1
cyber situational awareness,regexbench,1
cyber situational awareness,regular expression,1
cyber situational awareness,sniffles,1
cyber situational awareness,cloud computing,1
cyber situational awareness,context awareness,1
cyber situational awareness,cyber security,1
cyber situational awareness,multimedia recommendation,1
cybersecurity,pcre,1
cybersecurity,regexbench,1
cybersecurity,regular expression,1
cybersecurity,sniffles,1
cybersecurity,internet of things,12
cybersecurity,intrusion detection,3
cybersecurity,data injection attack,1
cybersecurity,energy efficiency,2
cybersecurity,smart grid,5
cybersecurity,bayesian,2
cybersecurity,botnet,2
cybersecurity,nonparametric,1
cybersecurity,analytics,2
cybersecurity,big data,2
cybersecurity,infrastructure,3
cybersecurity,network function virtualization,1
cybersecurity,service attestation,1
cybersecurity,code architecture,1
cybersecurity,metric,2
cybersecurity,modularity,1
cybersecurity,secure design,1
cybersecurity,static code,1
cybersecurity,vulnerability,9
cybersecurity,denial of sleep attack,1
cybersecurity,low power consumption,1
cybersecurity,mac layer,1
cybersecurity,mission critical application,1
cybersecurity,throughput,1
cybersecurity,wireless sensor networks,1
cybersecurity,adversary,2
cybersecurity,asset,2
cybersecurity,critical,2
cybersecurity,cyber,4
cybersecurity,firm,1
cybersecurity,government,1
cybersecurity,healthy,1
cybersecurity,incentive,1
cybersecurity,insurance,1
cybersecurity,investment,5
cybersecurity,management,5
cybersecurity,market,1
cybersecurity,optimal,2
cybersecurity,owner,1
cybersecurity,private,1
cybersecurity,problem,1
cybersecurity,protection,3
cybersecurity,residual,1
cybersecurity,risk,6
cybersecurity,solution,3
cybersecurity,deep learning,3
cybersecurity,fog network,1
cybersecurity,smart cities,1
cybersecurity,certificate policy,1
cybersecurity,critical infrastructure,3
cybersecurity,digital certification,1
cybersecurity,identity authentication,1
cybersecurity,information infrastructure,1
cybersecurity,meaning trust,1
cybersecurity,pki,1
cybersecurity,public key infrastructure,1
cybersecurity,risk pki,1
cybersecurity,trust,2
cybersecurity,trust modelling,1
cybersecurity,network,14
cybersecurity,theory,1
cybersecurity,cloud computing,5
cybersecurity,compliance,1
cybersecurity,goal-oriented,1
cybersecurity,requirements engineering,1
cybersecurity,secaas,1
cybersecurity,communication link,1
